,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
1957.425,,2,2,4,None,1,"[17.704280946895942, 21.059616376144223, 0.0]",68.73760223388672,None,5,"[61.85498675334774, 18.81014858079395, 0.0]",74.3584976196289,teleoperation,1,"[43.1582780588129, 19.321835513631274, 2.3777950723005477]",11.968000411987305,None,2,"[0.838969270734515, 2.984921916068675, 0.7081522618070033]",14.744000434875488
1964.7,,2,2,4,None,1,"[17.704280852086544, 21.059633777107624, 0.0]",68.59760284423828,None,5,"[61.854222156324376, 18.809371167554275, 0.0]",74.26850128173828,teleoperation,1,"[42.945547466843074, 19.129767822265265, 2.562034766175451]",11.968000411987305,None,2,"[0.8389921723991015, 2.9842264376490086, 0.7081414400758473]",14.744000434875488
1971.65,,2,2,4,None,1,"[17.704277818852177, 21.05965206254479, 0.0]",68.45760345458984,None,5,"[61.85364922646299, 18.808811168386775, 0.0]",74.17849731445312,teleoperation,1,"[42.94345051889457, 19.132128563241537, 2.561775975382903]",11.968000411987305,None,2,"[0.8390431507038735, 2.9835533979151356, 0.7080628405807586]",14.744000434875488
1976.655,uav_er_tele,2,2,4,None,1,"[17.70428047655587, 21.059668900425976, 0.0]",68.45760345458984,None,5,"[61.853144988052875, 18.80828130443534, 0.0]",74.17849731445312,None,1,"[42.957755525370835, 19.114505962605236, 2.5646207425004772]",11.968000411987305,None,2,"[0.8390801825647013, 2.9832626932695216, 0.7080703409359507]",14.744000434875488
1982.635,,2,2,4,None,1,"[17.70428017932218, 21.059686436999332, 0.0]",68.31759643554688,None,5,"[61.85247721138978, 18.807711315975496, 0.0]",74.0885009765625,None,1,"[42.96451084606236, 19.113021506737095, 2.564865590569322]",11.968000411987305,None,2,"[0.8392194241489848, 2.9827217305105482, 0.7081001572311683]",14.744000434875488
1988.495,,2,2,4,None,1,"[17.70429676192034, 21.059717614163496, 0.0]",68.31759643554688,None,5,"[61.85220031915706, 18.807313179389332, 0.0]",74.0885009765625,None,1,"[43.32854340084393, 19.3040757689756, 2.324289389300901]",11.968000411987305,None,2,"[0.83932738466463, 2.982113206495556, 0.7080493593712103]",14.744000434875488
1991.48,,2,3,4,None,1,"[17.704288766927988, 21.059719438094053, 0.0]",68.17759704589844,None,5,"[61.85206352615571, 18.807164070023624, 0.0]",73.99849700927734,None,1,"[43.35302879925083, 19.355651904208866, 2.3071369443176866]",11.968000411987305,None,2,"[0.8392018663753297, 2.981909025737653, 0.7078768578185887]",70.0
1991.595,uav_bat_OK,2,3,4,None,1,"[17.704288470993745, 21.05971951262267, 0.0]",68.17759704589844,None,5,"[61.85204301864866, 18.80711813454757, 0.0]",73.99849700927734,None,1,"[43.353932566201806, 19.357555766135576, 2.3065037953996192]",11.968000411987305,None,2,"[0.8393923425079474, 2.9818944480636396, 0.7080919541924546]",70.0
1993.545,uav_st_assess,3,3,4,None,1,"[17.7042991169456, 21.05973463332962, 0.0]",68.17759704589844,None,5,"[61.851979818474625, 18.807088585152616, 0.0]",73.99849700927734,None,1,"[43.37003537451144, 19.39147965802181, 2.2952221740451906]",11.968000411987305,assessment,2,"[1.15590965938199, 3.0544663179871963, 1.5999658220808362]",70.0
1999.02,,3,3,4,None,1,"[17.704300728775976, 21.059751570238255, 0.0]",68.17759704589844,None,5,"[61.851587264001466, 18.806686923470426, 0.0]",73.99849700927734,None,1,"[43.41496856732327, 19.486160335500113, 2.263736660485452]",11.968000411987305,assessment,2,"[0.8506384240964547, 2.984500310166409, 1.6009380692500372]",70.0
